exit_date,trades,net_trading_pnl_inr,win_rate_pct,interest_inr,equity_change_pct
2020,7,69782.31,85.71,14572.51,8.44
2021,17,109294.2,58.82,61375.99,15.74
2022,26,-4955.68,34.62,35908.4,2.45
2023,18,64842.93,44.44,62811.11,9.87
2024,16,18962.65,37.5,55751.53,5.25
2025,14,-27677.68,28.57,60093.44,2.16
